(32, 19040) RGBA
59:0 - Wheat Crops - (0.33869066752384014, 0.40119289974641953, 0.02987963855851995)
60:0 - Farmland - (0.36599421820010053, 0.25372046254399194, 0.16676093514328807)
61:0 - Furnace - (0.26431228108186183, 0.26431228108186183, 0.26431228108186183)
62:0 - Burning Furnace - (0.2648504392305126, 0.24727380555246672, 0.23510137514363022)
63:0 - Standing Sign Block - (0.44066839787738515, 0.3583982537352753, 0.20666139776448006)
64:0 - Oak Door Block - (0.5397953964194373, 0.4450383631713555, 0.26138107416879797)
65:0 - Ladder - (0.47693379305541045, 0.37486852645143315, 0.20824016995785882)
66:0 - Rail - (0.4756834633494975, 0.4289268395530255, 0.3505446623093682)
67:0 - Cobblestone Stairs - (0.35305208952267775, 0.35305208952267775, 0.35305208952267775)
68:0 - Wall-mounted Sign Block - (0.44066839787738515, 0.3583982537352753, 0.20666139776448006)
69:0 - Lever - (0.41361014994232986, 0.34567474048442903, 0.2446943483275663)
70:0 - Stone Pressure Plate - (0.4282112845138055, 0.4282112845138055, 0.4282112845138055)
71:0 - Iron Door Block - (0.7265899403239556, 0.7265899403239556, 0.7265899403239556)
72:0 - Wooden Pressure Plate - (0.5317566201738427, 0.4328818812748467, 0.26677447611346944)
73:0 - Redstone Ore - (0.3766466338857525, 0.31918897589995754, 0.31918897589995754)
74:0 - Glowing Redstone Ore - (0.3766466338857525, 0.31918897589995754, 0.31918897589995754)
75:0 - Redstone Torch (off) - (0.36196700902583256, 0.24239028944911298, 0.14708994708994708)
76:0 - Redstone Torch (on) - (0.6724122207022344, 0.2746922024623803, 0.1496124031007752)
77:0 - Stone Button - (0.38011204481792715, 0.38011204481792715, 0.38011204481792715)
78:0 - Snow - (0.6872311348781938, 0.7213368983957219, 0.7213368983957219)
79:0 - Ice - (0.35649010735515924, 0.49556679383669, 0.733120397480259)
80:0 - Snow Block - (0.6872311348781938, 0.7213368983957219, 0.7213368983957219)
81:0 - Cactus - (0.03691576033992126, 0.275687054145714, 0.06683818656687326)
82:0 - Clay - (0.448935813641696, 0.465225406401877, 0.4993799229093347)
83:0 - Sugar Canes - (0.5832787693174217, 0.7561094096525504, 0.3964797409089309)
84:0 - Jukebox - (0.3048986598006206, 0.20580973129992738, 0.15356176140489866)
85:0 - Oak Fence - (0.41751275852806874, 0.3412839108246038, 0.20915928015041632)
86:0 - Pumpkin - (0.5107962697274031, 0.3037960306073649, 0.0554818268770923)
88:0 - Soul Sand - (0.22981263616557734, 0.17225272331154684, 0.13630501089324618)
89:0 - Glowstone - (0.3862172826119695, 0.3147013644167344, 0.1779825908858167)
91:0 - Jack o'Lantern - (0.5533401914024751, 0.3535584026933508, 0.06791982293712398)
92:0 - Cake Block - (0.896594427244582, 0.808039467391578, 0.8115734098517455)
93:0 - Redstone Repeater Block (off) - (0.5999684697999803, 0.5870805005419253, 0.5872775642920485)
94:0 - Redstone Repeater Block (on) - (0.6299626799360227, 0.5882629386094821, 0.5887013012657228)
95:0 - White Stained Glass - (0.6445131375579598, 0.6445131375579598, 0.6445131375579598)
95:1 - Orange Stained Glass - (0.5990332877336981, 0.280109439124487, 0.008366013071895424)
95:2 - Magenta Stained Glass - (0.44314941480468156, 0.05082231342149263, 0.5892688858489132)
95:3 - Light Blue Stained Glass - (0.0942453260373917, 0.31195014439884483, 0.5791640066879464)
95:4 - Yellow Stained Glass - (0.6212068703450373, 0.6212068703450373, 0.02973096215230278)
95:5 - Lime Stained Glass - (0.3086548107615139, 0.5436206110351117, 0.0)
95:6 - Pink Stained Glass - (0.6485058519531844, 0.14232558139534884, 0.307469220246238)
95:7 - Gray Stained Glass - (0.0, 0.0, 0.0)
95:8 - Light Gray Stained Glass - (0.29230769230769227, 0.29230769230769227, 0.29230769230769227)
95:9 - Cyan Stained Glass - (0.0, 0.23422404620763032, 0.3576652986776106)
95:10 - Purple Stained Glass - (0.2613771089831281, 0.0, 0.4712083903328773)
95:11 - Blue Stained Glass - (0.0, 0.09620915032679739, 0.46838729290165676)
95:12 - Brown Stained Glass - (0.18661802705578356, 0.09620915032679739, 0.0)
95:13 - Green Stained Glass - (0.18661802705578356, 0.27898464812281504, 0.0)
95:14 - Red Stained Glass - (0.3754795561635507, 0.0, 0.0)
95:15 - Black Stained Glass - (0.0, 0.0, 0.0)
96:0 - Wooden Trapdoor - (0.4511156186612576, 0.33431855500821017, 0.16487974500144886)
97:0 - Stone Monster Egg - (0.3605280410036355, 0.3605280410036355, 0.3605280410036355)
97:1 - Cobblestone Monster Egg - (0.3414393293549304, 0.3414393293549304, 0.3414393293549304)
97:2 - Stone Brick Monster Egg - (0.3461512983571807, 0.3461512983571807, 0.3461512983571807)
97:3 - Mossy Stone Brick Monster Egg - (0.30134952766531714, 0.30798602841946493, 0.28879892037786775)
97:4 - Cracked Stone Brick Monster Egg - (0.3009682457053618, 0.3009682457053618, 0.3009682457053618)
97:5 - Chiseled Stone Brick Monster Egg - (0.30109446814138807, 0.30109446814138807, 0.30109446814138807)
98:0 - Stone Bricks - (0.3461512983571807, 0.3461512983571807, 0.3461512983571807)
98:2 - Cracked Stone Bricks - (0.3039609154698669, 0.3039609154698669, 0.3039609154698669)
98:3 - Chiseled Stone Bricks - (0.30109446814138807, 0.30109446814138807, 0.30109446814138807)
99:0 - Brown Mushroom Block - (0.3524177467597209, 0.26493020937188433, 0.2067131937520771)
100:0 - Red Mushroom Block - (0.4554289429558909, 0.08199021318824214, 0.0769804605961058)
101:0 - Iron Bars - (0.43321350762527233, 0.42655773420479304, 0.4200217864923747)
102:0 - Glass Pane - (0.8554183239131952, 0.943562905589282, 0.957490754308841)
103:0 - Melon Block - (0.4904181849731043, 0.5021967725143155, 0.12167273989241714)
104:0 - Pumpkin Stem - (0.4959543310995284, 0.7241499131298089, 0.3232067510548523)
105:0 - Melon Stem - (0.4959543310995284, 0.7241499131298089, 0.3232067510548523)
106:0 - Vines - (0.12304900181488203, 0.30966157787979076, 0.040817052773922634)
107:0 - Oak Fence Gate - (0.5217370383736316, 0.4251894622879827, 0.2590159990376519)
108:0 - Brick Stairs - (0.4866701066391469, 0.32747678018575854, 0.2839267285861713)
109:0 - Stone Brick Stairs - (0.4052941176470588, 0.4052941176470588, 0.4052941176470588)
110:0 - Mycelium - (0.37251310780722546, 0.29871435753788694, 0.2655318537671479)
111:0 - Lily Pad - (0.06910822021116139, 0.34014894419306185, 0.09504147812971342)
112:0 - Nether Brick - (0.14907616892911013, 0.0746480643539467, 0.08839869281045752)
113:0 - Nether Brick Fence - (0.14901960784313725, 0.07511757470515883, 0.08830041241588887)
114:0 - Nether Brick Stairs - (0.14901960784313725, 0.07485684539302447, 0.08850945688009718)
115:0 - Nether Wart - (0.44316742081447963, 0.06932880844645552, 0.06519607843137255)
117:0 - Brewing Stand - (0.2533468559837728, 0.24350912778904665, 0.21952332657200813)
118:0 - Cauldron - (0.14546568627450981, 0.14546568627450981, 0.14546568627450981)
119:0 - End Portal - (0.40179037511594295, 0.17344636424426757, 0.7039107832351863)
122:0 - Dragon Egg - (0.03157521406495415, 0.022242488726756854, 0.040583675330597355)
125:0 - Double Oak Wood Slab - (0.4498736918080115, 0.3666907253699026, 0.22556838686394803)
125:1 - Double Spruce Wood Slab - (0.26967158380380013, 0.2020093486310933, 0.12099799672190857)
125:2 - Double Birch Wood Slab - (0.5081648758574637, 0.46616281187397557, 0.31960177259758393)
125:3 - Double Jungle Wood Slab - (0.4003323363243602, 0.2867397806580259, 0.20048339828997855)
125:4 - Double Acacia Wood Slab - (0.43097658480868073, 0.23342090234151913, 0.12954121454407005)
125:5 - Double Dark Oak Wood Slab - (0.15758442265795208, 0.10190631808278867, 0.0468681917211329)
126:0 - Oak Wood Slab - (0.4878920393097287, 0.3973950251563455, 0.24490525226877322)
126:1 - Spruce Wood Slab - (0.3015303682448589, 0.22582496413199427, 0.13510282161645146)
126:2 - Birch Wood Slab - (0.5675317185697808, 0.5208189158016148, 0.3574202229911572)
126:3 - Jungle Wood Slab - (0.44778397977195744, 0.32061447450026237, 0.22465531224655313)
126:4 - Acacia Wood Slab - (0.4928468948555032, 0.2670492587278814, 0.14811778369884537)
126:5 - Dark Oak Wood Slab - (0.17755478662053056, 0.11502883506343714, 0.0528719723183391)
129:0 - Emerald Ore - (0.2795647738864332, 0.31028750613925726, 0.2898862820658128)
130:0 - Ender Chest - (0.06444022770398482, 0.09868859371705671, 0.10379928315412186)
131:0 - Tripwire Hook - (0.37215484131797044, 0.31329088336365474, 0.21420052557105315)
132:0 - Tripwire - (0.5064856711915535, 0.5064856711915535, 0.5064856711915535)
134:0 - Spruce Wood Stairs - (0.27251647546985597, 0.2047514441461232, 0.12253681555609797)
135:0 - Birch Wood Stairs - (0.5074492864100284, 0.466099182653623, 0.3201626222843349)
136:0 - Jungle Wood Stairs - (0.4049500397173795, 0.2913165266106443, 0.204841339520883)
137:0 - Command Block - (0.4514189886480908, 0.34611283109735125, 0.27978156174750607)
138:0 - Beacon - (0.17450217441062027, 0.519783321889067, 0.5007248035400931)
139:0 - Cobblestone Wall - (0.290798410867615, 0.290798410867615, 0.290798410867615)
139:1 - Mossy Cobblestone Wall - (0.25598866052445074, 0.2966375305142137, 0.25598866052445074)
140:0 - Flower Pot - (0.31142520612485275, 0.1718284486939652, 0.13404004711425208)
141:0 - Carrots - (0.07760727479397557, 0.5033532253481103, 0.009159799185374634)
142:0 - Potatoes - (0.13515576546920471, 0.6688707599828253, 0.1417489623586661)
143:0 - Wooden Button - (0.4053921568627451, 0.3311764705882353, 0.20068627450980392)
144:0 - Mob Head - (0.4329340246736993, 0.4329340246736993, 0.4329340246736993)
145:0 - Anvil - (0.17221375596870872, 0.16833282535812252, 0.16832266585390634)
146:0 - Trapped Chest - (0.375951356152217, 0.27214593154334904, 0.1092436974789916)
147:0 - Weighted Pressure Plate (light) - (0.8258912655971479, 0.7974598930481284, 0.2648841354723708)
148:0 - Weighted Pressure Plate (heavy) - (0.7348664568708141, 0.7348664568708141, 0.7348664568708141)
149:0 - Redstone Comparator (inactive) - (0.4389256667297144, 0.4098228358867663, 0.3999495618182965)
150:0 - Redstone Comparator (active) - (0.4876213111507229, 0.42517990361127617, 0.4094012015580643)
151:0 - Daylight Sensor - (0.3308186551456741, 0.29041763598094605, 0.22650936080646947)
152:0 - Redstone Block - (0.448028939038928, 0.07241336786286842, 0.024154231923377317)
154:0 - Hopper - (0.30051599587203304, 0.30051599587203304, 0.30051599587203304)
155:0 - Quartz Block - (0.6135587568360678, 0.6062291583299987, 0.5885954381752702)
155:1 - Chiseled Quartz Block - (0.6055824682814303, 0.5962761575218323, 0.5748228703246004)
155:2 - Pillar Quartz Block - (0.60370118295252, 0.595358936963215, 0.5745324906822233)
156:0 - Quartz Stairs - (0.6380090497737556, 0.6304087113269323, 0.6119412868336829)
157:0 - Activator Rail - (0.4095062447421213, 0.32704329256455056, 0.28257943441402966)
158:0 - Dropper - (0.2732910348783023, 0.2732910348783023, 0.2732910348783023)
159:0 - White Stained Clay - (0.5418047500690417, 0.45996271748135875, 0.4167702292184479)
159:1 - Orange Stained Clay - (0.4130839766590555, 0.21413504403609873, 0.09611105070494003)
159:2 - Magenta Stained Clay - (0.3833800186741363, 0.22536809595633125, 0.278503196150255)
159:3 - Light Blue Stained Clay - (0.2921167101652948, 0.27945526333400256, 0.35561132302750453)
159:4 - Yellow Stained Clay - (0.476238198983297, 0.3402614379084967, 0.09034858387799564)
159:5 - Lime Stained Clay - (0.2662985771926099, 0.30283853613647627, 0.13583209457068027)
159:6 - Pink Stained Clay - (0.41416566626650664, 0.20010185892538832, 0.20114955072938268)
159:7 - Gray Stained Clay - (0.14923962984533748, 0.10968743933216851, 0.09216980521581569)
159:8 - Light Gray Stained Clay - (0.34850751297082405, 0.27465130382049724, 0.2509332255238865)
159:9 - Cyan Stained Clay - (0.22167894380982883, 0.23310914202341554, 0.23321589979004306)
159:10 - Purple Stained Clay - (0.303896476323619, 0.18032046456608236, 0.22066171989819694)
159:11 - Blue Stained Clay - (0.1917745921898171, 0.15387048937221948, 0.23536002636348657)
159:12 - Brown Stained Clay - (0.19931422484103997, 0.1323213156230234, 0.09239988015579746)
159:13 - Green Stained Clay - (0.19628447989365239, 0.21453639082751746, 0.1092123629112662)
159:14 - Red Stained Clay - (0.3672059716418443, 0.1563698703525126, 0.12021857923497267)
159:15 - Black Stained Clay - (0.09612015018773466, 0.059478193896216426, 0.0420910753826899)
160:0 - White Stained Glass Pane - (1.0, 1.0, 1.0)
160:1 - Orange Stained Glass Pane - (0.8470588235294118, 0.4980392156862745, 0.2)
160:2 - Magenta Stained Glass Pane - (0.6980392156862745, 0.2980392156862745, 0.8470588235294118)
160:3 - Light Blue Stained Glass Pane - (0.4, 0.6, 0.8470588235294118)
160:4 - Yellow Stained Glass Pane - (0.8980392156862745, 0.8980392156862745, 0.2)
160:5 - Lime Stained Glass Pane - (0.4980392156862745, 0.8, 0.09803921568627451)
160:6 - Pink Stained Glass Pane - (0.9490196078431372, 0.4980392156862745, 0.6470588235294118)
160:7 - Gray Stained Glass Pane - (0.2980392156862745, 0.2980392156862745, 0.2980392156862745)
160:8 - Light Gray Stained Glass Pane - (0.6, 0.6, 0.6)
160:9 - Cyan Stained Glass Pane - (0.2980392156862745, 0.4980392156862745, 0.6)
160:10 - Purple Stained Glass Pane - (0.4980392156862745, 0.24705882352941178, 0.6980392156862745)
160:11 - Blue Stained Glass Pane - (0.2, 0.2980392156862745, 0.6980392156862745)
160:12 - Brown Stained Glass Pane - (0.4, 0.2980392156862745, 0.2)
160:13 - Green Stained Glass Pane - (0.4, 0.4980392156862745, 0.2)
160:14 - Red Stained Glass Pane - (0.6, 0.2, 0.2)
160:15 - Black Stained Glass Pane - (0.09803921568627451, 0.09803921568627451, 0.09803921568627451)
161:0 - Acacia Leaves - (0.11811051693404634, 0.2959536541889483, 0.041176470588235294)
161:1 - Dark Oak Leaves - (0.11811051693404634, 0.2959536541889483, 0.041176470588235294)
162:0 - Acacia Wood - (0.3085303280190581, 0.23856514568444198, 0.19822246655671613)
162:1 - Dark Oak Wood - (0.1587803057094581, 0.12488506424613934, 0.07689103697591261)
163:0 - Acacia Wood Stairs - (0.4510148674854557, 0.24435251023486318, 0.13547942253824607)
164:0 - Dark Oak Wood Stairs - (0.1633280339162692, 0.10581421757892347, 0.048504807328336744)
166:0 - Barrier - (0.8268424611223799, 0.0974814063556457, 0.10000845165652468)
167:0 - Iron Trapdoor - (0.6653130287648055, 0.6653130287648055, 0.6653130287648055)
168:0 - Prismarine - (0.2735454837672774, 0.43665845208757453, 0.3903425122325797)
169:0 - Sea Lantern - (0.432000954540031, 0.5008153362764984, 0.47653820148749154)
171:0 - White Carpet - (0.8495160089352196, 0.8495160089352196, 0.8495160089352196)
171:1 - Orange Carpet - (0.8368839427662957, 0.4768203497615262, 0.23682034976152624)
171:2 - Magenta Carpet - (0.6925770308123249, 0.3082399626517274, 0.726844070961718)
171:3 - Light Blue Carpet - (0.40860888734191897, 0.5284603782341339, 0.7717136558765517)
171:4 - Yellow Carpet - (0.6811764705882353, 0.6382698961937716, 0.1515109573241061)
171:5 - Lime Carpet - (0.252485180118559, 0.6669630642954857, 0.21689466484268127)
171:6 - Pink Carpet - (0.8023012797933544, 0.5084889045438535, 0.5886110132675825)
171:7 - Gray Carpet - (0.24340140201158184, 0.24340140201158184, 0.24340140201158184)
171:8 - Light Gray Carpet - (0.5921330956625075, 0.6175401069518717, 0.6175401069518717)
171:9 - Cyan Carpet - (0.17818627450980393, 0.4231951871657754, 0.5251336898395722)
171:10 - Purple Carpet - (0.48484429065743945, 0.23617070357554787, 0.6957093425605536)
171:11 - Blue Carpet - (0.17710164525580346, 0.2175569078205995, 0.5420554428668019)
171:12 - Brown Carpet - (0.3027750991106825, 0.19329261759348548, 0.11914711239687131)
171:13 - Green Carpet - (0.20298887122416534, 0.27075781664016957, 0.10522522522522523)
171:14 - Red Carpet - (0.5755813953488372, 0.19844961240310077, 0.1859781121751026)
171:15 - Black Carpet - (0.09746130030959752, 0.08359133126934984, 0.08359133126934984)
172:0 - Hardened Clay - (0.3879145114078351, 0.2387665904807731, 0.17209190424636112)
173:0 - Block of Coal - (0.048122907699665235, 0.048122907699665235, 0.048122907699665235)
174:0 - Packed Ice - (0.41916239112277776, 0.49484946108260747, 0.6265362128624269)
175:0 - Sunflower - (0.9192677070828331, 0.778671468587435, 0.13181272509003603)
175:1 - Lilac - (0.5842300334768054, 0.5809899569583932, 0.5526183644189383)
175:2 - Double Tallgrass - (0.24711269123033827, 0.37700926524455936, 0.21355311355311354)
175:3 - Large Fern - (0.2377494360576089, 0.362467464862051, 0.2053704667707791)
175:4 - Rose Bush - (0.4541847142657538, 0.23942992874109265, 0.0293605328116995)
175:5 - Peony - (0.505030536804886, 0.517357762777242, 0.5422372227579557)
176:0 - Free-standing Banner - (0.5908743371562462, 0.5891355284252066, 0.5863485016648169)
177:0 - Wall-mounted Banner - (0.5908743371562462, 0.5891355284252066, 0.5863485016648169)
178:0 - Inverted Daylight Sensor - (0.2685998342999172, 0.26548467274233634, 0.2542833471416736)
179:0 - Red Sandstone - (0.4265555693736269, 0.21751025991792067, 0.07638353438627037)
179:1 - Chiseled Red Sandstone - (0.41806919951079025, 0.2127589063794532, 0.07307373653686827)
179:2 - Smooth Red Sandstone - (0.4257452884066248, 0.2168284789644013, 0.07701503902531887)
180:0 - Red Sandstone Stairs - (0.44303479111359506, 0.2257743002188999, 0.07928834241535093)
181:0 - Double Red Sandstone Slab - (0.4265555693736269, 0.21751025991792067, 0.07638353438627037)
182:0 - Red Sandstone Slab - (0.4797480002831458, 0.24429815247398598, 0.0857790047426913)
183:0 - Spruce Fence Gate - (0.22413793103448276, 0.16792878070768535, 0.10049583051611449)
184:0 - Birch Fence Gate - (0.4233698130414956, 0.3865025079799362, 0.2658230734154127)
185:0 - Jungle Fence Gate - (0.33013297272932157, 0.23569979716024342, 0.16344376831192248)
186:0 - Dark Oak Fence Gate - (0.13234192553425864, 0.08567966512447676, 0.03952412425644415)
187:0 - Acacia Fence Gate - (0.3664059843590615, 0.19748384903094188, 0.11050663039782388)
188:0 - Spruce Fence - (0.2458240043422213, 0.18493791980460003, 0.10991247710156726)
189:0 - Birch Fence - (0.45901482544237204, 0.42111088337774133, 0.2890619662499146)
190:0 - Jungle Fence - (0.3631861048917837, 0.2605739873804193, 0.1809349345274442)
191:0 - Dark Oak Fence - (0.14508465502241852, 0.0942648731847688, 0.0434584755403868)
192:0 - Acacia Fence - (0.3971677559912854, 0.21500544662309368, 0.12017973856209149)
193:0 - Spruce Door Block - (0.41924748277689455, 0.32792792792792796, 0.22536654301360182)
194:0 - Birch Door Block - (0.8193530119629079, 0.7856657464429816, 0.6204926736037375)
195:0 - Jungle Door Block - (0.6672549019607843, 0.48643648763853364, 0.35297527706734866)
